year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,treat_bvr2016_x_2016
2016,AM,1303700,1.0,0.0,0.0,0.0,0,0
2012,AM,1303809,0.31129150459439653,0.29201195106826766,0.3966965443373358,0.0,0,0
2016,AM,1303809,0.5766883116883117,0.05246753246753247,0.37084415584415586,0.0,0,0
2012,AM,1303908,0.615874400348888,0.3841255996511121,0.0,0.0,0,0
2016,AM,1303908,0.9439956501475842,0.0,0.05600434985241572,0.0,0,0
2012,AM,1303957,0.3576144366197183,0.3019366197183099,0.3404489436619718,0.0,0,0
2016,AM,1303957,0.4654205607476635,0.5345794392523364,0.0,0.0,0,0
2012,AM,1304005,0.6011780353410602,0.372031160934828,0.026790803724111724,0.0,0,0
2016,AM,1304005,0.6329241634437531,0.36707583655624687,0.0,0.0,0,0
2012,AM,1304062,0.2896484375,0.698193359375,0.012158203125,0.0,0,0
2016,AM,1304062,0.9618225005398402,0.023493845821636796,0.014683653638522998,0.0,0,0
2012,AM,1304104,0.25764667464896046,0.6698595841950582,0.07249374115598128,0.0,0,0
2016,AM,1304104,0.27201904349707856,0.7279809565029215,0.0,0.0,0,0
2012,AM,1304203,0.39668225339568025,0.6033177466043198,0.0,0.0,0,0
2016,AM,1304203,0.7702261010209926,0.22977389897900732,0.0,0.0,0,0
2012,AM,1304237,1.0,0.0,0.0,0.0,0,0
2016,AM,1304237,0.9653592128319181,0.03464078716808195,0.0,0.0,0,0
2012,AM,1304260,0.0,1.0,0.0,0.0,0,0
2016,AM,1304260,0.6468652295540562,0.3531347704459437,0.0,0.0,0,0
2012,AM,1304302,0.5008418453249524,0.4959030194185655,0.003255135256482209,0.0,0,0
2016,AM,1304302,0.4209013448311262,0.5790986551688738,0.0,0.0,0,0
2012,AM,1304401,0.4389930369576861,0.15715050883770756,0.4038564542046063,0.0,0,0
2016,AM,1304401,0.0,0.35404595404595407,0.6459540459540459,0.0,0,0
2012,RR,1400027,0.6323497267759562,0.3676502732240437,0.0,0.0,0,0
2016,RR,1400027,0.591820580474934,0.408179419525066,0.0,0.0,0,0
2012,RR,1400050,0.26112759643916916,0.0,0.7388724035608308,0.0,0,0
2016,RR,1400050,1.0,0.0,0.0,0.0,0,0
2012,RR,1400159,0.38673765730880927,0.6132623426911907,0.0,0.0,0,0
2016,RR,1400159,0.589387239418825,0.41061276058117496,0.0,0.0,0,0
2012,RR,1400175,0.5733202013569709,0.35926898664915735,0.06741081199387175,0.0,0,0
2016,RR,1400175,0.7872183617603706,0.053800800168456515,0.1589808380711729,0.0,0,0
2012,RR,1400209,0.5744503490674169,0.4255496509325831,0.0,0.0,0,0
2016,RR,1400209,0.9328358208955224,0.011100746268656717,0.056063432835820895,0.0,0,0
2012,RR,1400407,0.3398454272219837,0.3488621726062688,0.31129240017174753,0.0,0,0
2016,RR,1400407,0.3812063258550938,0.6187936741449063,0.0,0.0,0,0
2012,RR,1400456,0.33447040764113933,0.6655295923588607,0.0,0.0,0,0
2016,RR,1400456,0.786589762076424,0.21341023792357605,0.0,0.0,0,0
2012,RR,1400472,0.6209965893020547,0.37900341069794524,0.0,0.0,0,0
2016,RR,1400472,0.7612596382503423,0.23693881962960295,0.0018015421200547669,0.0,0,0
2012,RR,1400704,0.3555008210180624,0.052271483305966066,0.5922276956759716,0.0,0,0
2016,RR,1400704,0.4874835309617918,0.5125164690382081,0.0,0.0,0,0
2012,PA,1500107,0.0,0.5031063135823561,0.49689368641764387,0.0,0,0
2016,PA,1500107,0.02442156354554451,0.7757763536119882,0.19980208284246737,0.0,0,0
2012,PA,1500131,0.0,1.0,0.0,0.0,0,0
2016,PA,1500131,0.560324578261798,0.439675421738202,0.0,0.0,0,0
2012,PA,1500206,0.0,0.5489966178128524,0.4510033821871477,0.0,0,0
2016,PA,1500206,0.14941740918437285,0.5603438428147133,0.29023874800091387,0.0,0,0
2012,PA,1500305,0.45004344048653344,0.3074428033593976,0.24251375615406892,0.0,1,0
2016,PA,1500305,0.58418510043224,0.0,0.41581489956775997,0.0,1,1
2012,PA,1500347,0.0,0.5714007592718777,0.4285992407281223,0.0,0,0
2016,PA,1500347,0.3820580474934037,0.6179419525065963,0.0,0.0,0,0
2012,PA,1500404,0.7968277388417558,0.04846919955735891,0.1547030616008853,0.0,0,0
2016,PA,1500404,0.2031236664675258,0.7968763335324742,0.0,0.0,0,0
2012,PA,1500503,0.0,0.4894165617317263,0.5105834382682737,0.0,0,0
2016,PA,1500503,0.6402666365382442,0.3597333634617557,0.0,0.0,0,0
2012,PA,1500602,0.2547913595282354,0.7452086404717646,0.0,0.0,0,0
2016,PA,1500602,0.0,0.9580258482683222,0.041974151731677796,0.0,0,0
2012,PA,1500701,0.8258608462690096,0.17413915373099045,0.0,0.0,0,0
2016,PA,1500701,0.6009449263098512,0.3990550736901488,0.0,0.0,0,0
2012,PA,1500859,0.0,0.5737632508833922,0.42623674911660775,0.0,0,0
2016,PA,1500859,0.009900990099009901,0.5193651718112988,0.4707338380896913,0.0,0,0
2012,PA,1500909,0.425304389618712,0.0,0.574695610381288,0.0,0,0
2016,PA,1500909,0.6345558509669665,0.0,0.36544414903303346,0.0,0,0
2012,PA,1500958,0.5087017873941675,0.4678582627783004,0.02343994982753214,0.0,0,0
2016,PA,1500958,0.5919297768100164,0.40807022318998365,0.0,0.0,0,0
2012,PA,1501006,0.8673984355286399,0.13260156447136007,0.0,0.0,0,0
2016,PA,1501006,0.3967625899280576,0.5890887290167865,0.014148681055155876,0.0,0,0
2012,PA,1501105,0.6003709360680777,0.3996290639319223,0.0,0.0,0,0
2016,PA,1501105,0.6195962843872812,0.3611111111111111,0.01929260450160772,0.0,0,0
2012,PA,1501204,0.0,0.5577960008986744,0.4422039991013255,0.0,0,0
2016,PA,1501204,0.4116081482239738,0.5805097758214761,0.007882075954550108,0.0,0,0
2012,PA,1501253,0.0,1.0,0.0,0.0,0,0
2016,PA,1501253,0.0,1.0,0.0,0.0,0,0
2012,PA,1501402,0.19980275139825476,0.4437964280682434,0.35640082053350186,0.0,0,0
2016,PA,1501402,0.1677955158150351,0.5100207334389727,0.3221837507459922,0.0,0,0
2012,PA,1501451,0.3527511078286558,0.29218980797636634,0.35505908419497784,0.0,1,0
2016,PA,1501451,0.6518890057438719,0.1610711107515573,0.18703988350457082,0.0,1,1
2012,PA,1501501,0.0,0.9580130304388293,0.04198696956117067,0.0,0,0
2016,PA,1501501,0.10123734533183353,0.8987626546681665,0.0,0.0,0,0
2012,PA,1501576,0.0,0.4197363055593312,0.5802636944406687,0.0,0,0
2016,PA,1501576,0.5289932408395589,0.4710067591604411,0.0,0.0,0,0
2012,PA,1501600,0.636767976278725,0.363232023721275,0.0,0.0,0,0
2016,PA,1501600,0.6551621541207974,0.34483784587920263,0.0,0.0,0,0
2012,PA,1501709,0.0,0.39089121249294156,0.6091087875070584,0.0,1,0
2016,PA,1501709,0.14509896324222432,0.8549010367577757,0.0,0.0,1,1
2012,PA,1501725,0.0,0.5181968972582691,0.4818031027417309,0.0,0,0
2016,PA,1501725,0.0,0.4894659027906117,0.5105340972093882,0.0,0,0
2012,PA,1501758,0.7482963288634865,0.20092327984172345,0.05078039129479006,0.0,0,0
2016,PA,1501758,0.0,0.637937595129376,0.362062404870624,0.0,0,0
2012,PA,1501782,0.0,1.0,0.0,0.0,0,0
2016,PA,1501782,0.47674914675767915,0.5027730375426621,0.020477815699658702,0.0,0,0
2012,PA,1501808,0.0,1.0,0.0,0.0,0,0
2016,PA,1501808,0.2212307488928548,0.7579483111904289,0.02082093991671624,0.0,0,0
2012,PA,1501907,0.0,0.6051721845499268,0.3948278154500731,0.0,0,0
2016,PA,1501907,0.8534320639398213,0.13734132581100142,0.009226610249177244,0.0,0,0
2012,PA,1501956,0.004271765663140765,0.9957282343368592,0.0,0.0,0,0
2016,PA,1501956,1.0,0.0,0.0,0.0,0,0
2012,PA,1502004,0.3618574312781488,0.6381425687218513,0.0,0.0,0,0
2016,PA,1502004,0.0,1.0,0.0,0.0,0,0
2012,PA,1502103,0.0,0.4100270665463709,0.5899729334536291,0.0,0,0
2016,PA,1502103,0.5577558676279861,0.09102319159914653,0.35122094077286736,0.0,0,0
2012,PA,1502152,0.017879948914431672,0.9766922094508301,0.005427841634738187,0.0,1,0
2016,PA,1502152,0.0,1.0,0.0,0.0,1,1
2012,PA,1502509,0.0,1.0,0.0,0.0,0,0
2016,PA,1502509,0.06698187549251379,0.9330181245074862,0.0,0.0,0,0
2012,PA,1502608,0.4184552114124149,0.5815447885875852,0.0,0.0,0,0
2016,PA,1502608,0.2339383807021734,0.7660616192978266,0.0,0.0,0,0
2012,PA,1502707,0.05079868207031739,0.543020394544772,0.4061809233849105,0.0,0,0
2016,PA,1502707,0.0,1.0,0.0,0.0,0,0
2012,PA,1502756,0.0,0.5233490097370338,0.47665099026296615,0.0,0,0
2016,PA,1502756,0.0,0.37662104822805237,0.6233789517719477,0.0,0,0
2012,PA,1502764,0.0,1.0,0.0,0.0,0,0
2016,PA,1502764,0.0,1.0,0.0,0.0,0,0
