year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,group,post_2016,treated_x_post
2008,AC,1200807,0.28141344559255005,0.11953055236637326,0.5990560020410767,0.0,1,Strict BVR in 2016,0,0
2012,AC,1200807,0.0,0.6767973171242926,0.3232026828757074,0.0,1,Strict BVR in 2016,0,0
2016,AC,1200807,0.7831103849688553,0.09905034208107832,0.11783927295006637,0.0,1,Strict BVR in 2016,1,1
2020,AC,1200807,0.6974084566152555,0.30259154338474453,0.0,0.0,1,Strict BVR in 2016,1,1
2000,AM,1300029,0.5174873446847676,0.4825126553152324,0.0,0.0,0,Never BVR,0,0
2004,AM,1300029,0.535700274617497,0.4642997253825029,0.0,0.0,0,Never BVR,0,0
2008,AM,1300029,0.3561313163823624,0.6438686836176376,0.0,0.0,0,Never BVR,0,0
2012,AM,1300029,0.4692393736017897,0.5307606263982103,0.0,0.0,0,Never BVR,0,0
2016,AM,1300029,0.684870188003581,0.315129811996419,0.0,0.0,0,Never BVR,1,0
2020,AM,1300029,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2000,AM,1300060,0.23231083844580777,0.7676891615541922,0.0,0.0,0,Never BVR,0,0
2004,AM,1300060,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2008,AM,1300060,0.39502332814930013,0.08522550544323483,0.519751166407465,0.0,0,Never BVR,0,0
2012,AM,1300060,0.0,0.4774980930587338,0.5225019069412662,0.0,0,Never BVR,0,0
2016,AM,1300060,0.4407315421088282,0.5592684578911719,0.0,0.0,0,Never BVR,1,0
2020,AM,1300060,0.6539953452288596,0.3460046547711404,0.0,0.0,0,Never BVR,1,0
2000,AM,1300086,0.4246653375106807,0.5753346624893193,0.0,0.0,0,Never BVR,0,0
2004,AM,1300086,0.2853501274553906,0.7146498725446094,0.0,0.0,0,Never BVR,0,0
2008,AM,1300086,0.2849895224440278,0.442373442152862,0.2726370354031102,0.0,0,Never BVR,0,0
2012,AM,1300086,0.5713739728645136,0.0,0.4286260271354863,0.0,0,Never BVR,0,0
2016,AM,1300086,0.4967325808367988,0.4908766867521005,0.012390732411100738,0.0,0,Never BVR,1,0
2020,AM,1300086,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2000,AM,1300102,0.09020833333333333,0.9097916666666667,0.0,0.0,0,Never BVR,0,0
2004,AM,1300102,0.35802035802035803,0.641979641979642,0.0,0.0,0,Never BVR,0,0
2008,AM,1300102,0.24478627421978996,0.7348025440023666,0.020411181777843516,0.0,0,Never BVR,0,0
2012,AM,1300102,0.6650013502565487,0.3349986497434513,0.0,0.0,0,Never BVR,0,0
2016,AM,1300102,0.0,1.0,0.0,0.0,0,Never BVR,1,0
2020,AM,1300102,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2000,AM,1300144,0.32045240339302544,0.6548067860508954,0.02474081055607917,0.0,0,Never BVR,0,0
2004,AM,1300144,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2008,AM,1300144,0.0,0.8787349014621741,0.12126509853782581,0.0,0,Never BVR,0,0
2012,AM,1300144,0.3521858317703073,0.3263598326359833,0.3214543355937094,0.0,0,Never BVR,0,0
2016,AM,1300144,0.9581537606005839,0.025163353260114,0.0166828861393021,0.0,0,Never BVR,1,0
2020,AM,1300144,0.6366090712742981,0.36339092872570194,0.0,0.0,0,Never BVR,1,0
2000,AM,1300201,0.31131678586453515,0.6886832141354648,0.0,0.0,0,Never BVR,0,0
2004,AM,1300201,0.47486595174262736,0.5251340482573726,0.0,0.0,0,Never BVR,0,0
2008,AM,1300201,0.8626309662398137,0.0,0.13736903376018628,0.0,0,Never BVR,0,0
2012,AM,1300201,0.3511092150170648,0.5885238907849829,0.06036689419795222,0.0,0,Never BVR,0,0
2016,AM,1300201,0.0,0.8032478632478632,0.19675213675213676,0.0,0,Never BVR,1,0
2020,AM,1300201,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2000,AM,1300300,0.4052923076923077,0.5947076923076923,0.0,0.0,1,Strict BVR in 2016,0,0
