event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high,region,region_slug,outcome
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.1349278092712769,0.0312365809103099,4.319544756152959,0.0019344632316441,0.0642657540236936,0.2055898645188603,Centro-Oeste,centro_oeste,log_num_voters_high_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.0508305660177096,0.0642600762029587,-0.7910131612226325,0.4492783537252969,-0.1961969576821912,0.0945358256467719,Centro-Oeste,centro_oeste,log_num_voters_high_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.0088852932396095,0.0076103779734573,-1.167523251880356,0.2729985342636978,-0.0261011642838677,0.0083305778046486,Sudeste,sudeste,log_num_voters
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.0046263822244092,0.0030694547048695,-1.5072326094500603,0.1660202334966327,-0.0115699711709145,0.0023172067220959,Sudeste,sudeste,log_num_voters
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0068785374663574,0.0019403348706516,3.5450259490761864,0.0062645419826598,0.0024891950404857,0.0112678798922291,Sudeste,sudeste,log_num_voters
-2,(reference period),0.0,,,,,,Sudeste,sudeste,log_num_voters
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.137595220398708,0.0034448773680365,-39.94197926329486,1.9231342505624648e-11,-0.1453880744117732,-0.1298023663856428,Sudeste,sudeste,log_num_voters
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.0993883836003569,0.0086648470900512,-11.47029861778772,1.13001989963902e-06,-0.1189896295096675,-0.0797871376910462,Sudeste,sudeste,log_num_voters
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.053273305473147,0.0102226234970589,-5.211314442762559,0.0005555980737782549,-0.0763984864396081,-0.0301481245066859,Sudeste,sudeste,log_num_voters
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.0381548651909926,0.017997631885977,-2.119993643203766,0.0630382361868599,-0.0788683370752609,0.0025586066932755,Sudeste,sudeste,log_num_voters
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.0039349094971822,0.0238149741599099,-0.1652283756749265,0.8724160002441803,-0.0578081238748767,0.0499383048805121,Sudeste,sudeste,log_num_voters
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0010042930609119,0.0034263744418638,0.2931066285813178,0.7760865463270308,-0.0067467044251791,0.008755290547003,Sudeste,sudeste,pct_voters_low_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.0008448421039116236,0.0030818229803361,0.2741371289987178,0.7901673684802653,-0.0061267258255319,0.0078164100333551,Sudeste,sudeste,pct_voters_low_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0006596534550322376,0.003080636747398,-0.214128931490992,0.8352191884984222,-0.0076285379391381,0.0063092310290737,Sudeste,sudeste,pct_voters_low_ed
