municipality_id,state,pct_votes_pt_2018_runoff,pct_votes_pt_2014_runoff,total_valid_votes_2018_runoff,exit_rate_2018,log_gdp_pc,low_ed_share_2008,low_ed_year_used,low_ed_share_2008_exact,low_ed_voters_2008,total_voters_2008,exit_rate_2018_x_low_ed_share_2008
3130051,MG,0.7525063888342834,0.7900777489818586,5087,0.10931950737081944,8.825603466559485,0.7813483518303793,2008.0,True,4717.0,6037.0,0.08541661690709877
3130101,MG,0.3938712972420837,0.5494277321989264,19580,0.027947032344744667,9.696611919216366,0.7105550500454959,2008.0,True,15618.0,21980.0,0.01985790496634314
3130200,MG,0.3578242338136797,0.6323699421965318,4927,0.024929621851021516,10.460857045844815,0.791800128122998,2008.0,True,4944.0,6244.0,0.01973927777569673
3130309,MG,0.4659523809523809,0.4778761061946903,4200,0.06426306834376924,10.584914709044435,0.6771666394646646,2008.0,True,4149.0,6127.0,0.04351680603203829
3130408,MG,0.3545353982300885,0.357997557997558,3616,0.06946435482888613,10.678835311971277,0.7072443833104081,2008.0,True,3085.0,4362.0,0.04912827479301094
3130507,MG,0.4747352496217851,0.5323800357486594,6610,0.03388210391479957,9.635598013612075,0.762164081922576,2008.0,True,6438.0,8447.0,0.025823722623828534
3130556,MG,0.584551724137931,0.6433216608304152,3625,0.083312558372563,9.117141581430612,0.8707930367504836,2008.0,True,4502.0,5170.0,0.07254799570469607
3130606,MG,0.3479685452162516,0.445954045954046,4578,0.0600552288684208,9.50765454153678,0.7539387502212781,2008.0,True,4259.0,5649.0,0.04527796419731
3130655,MG,0.5483684666474156,0.6335697399527187,3463,0.09469609486153772,8.974726340121775,0.8476190476190476,2008.0,True,4628.0,5460.0,0.08026621373977959
3130705,MG,0.5107561929595827,0.6475709070485819,3068,0.15134790347449634,10.879488393452961,0.7417570729631994,2008.0,True,3487.0,4701.0,0.11226337788035924
3130804,MG,0.4475935828877005,0.4093193238921882,1870,0.09518009753296565,10.017062334301231,0.7187878787878788,2008.0,True,1779.0,2475.0,0.0684143004085438
3130903,MG,0.3831210704497824,0.6208878731214073,12406,0.05632758257499996,9.444397545304499,0.7709570610185525,2008.0,True,14669.0,19027.0,0.0434261475163018
3131000,MG,0.4029084687767322,0.5108257804632427,3507,0.05493433855908305,9.802754861876162,0.7103847745138602,2008.0,True,3434.0,4834.0,0.039024517710362264
3131109,MG,0.543864229765013,0.6410614525139665,3830,0.05140836143248527,9.200448295754024,0.7505082239881723,2008.0,True,4061.0,5411.0,0.03858239803683657
3131158,MG,0.425,0.7079836233367451,9000,0.08288827245803446,9.005116171395416,0.7980616592864901,2008.0,True,9552.0,11969.0,0.06614995225324966
3131208,MG,0.4330462863293864,0.5634935136122785,9290,0.21587431939597335,9.288270214409225,0.7572080143345822,2008.0,True,9297.0,12278.0,0.16346176473565435
3131307,MG,0.2588656774224783,0.4693972832168609,123933,0.03776935233441062,10.686776496661935,0.5679047687206279,2008.0,True,95224.0,167676.0,0.02144939530220137
3131406,MG,0.5952602230483272,0.6223776223776224,2152,0.05708413314003465,10.008558721143869,0.7212276214833759,2008.0,True,2820.0,3910.0,0.04117065356902755
3131505,MG,0.3238095238095238,0.5065663036515055,5565,0.04854928346221033,9.504431783957868,0.8086980841840302,2008.0,True,5783.0,7151.0,0.03926171252439692
3131604,MG,0.3963662443222567,0.6029650220060228,4183,0.11984223074919119,10.45040371863748,0.7122480030429821,2008.0,True,3745.0,5258.0,0.08535738953132768
3131703,MG,0.4179408597697341,0.5199511107915739,60365,0.057317861624203596,10.925748685702763,0.6212741298757741,2008.0,True,51462.0,82833.0,0.03561010460691712
3131802,MG,0.4307577454273983,0.5574924572577942,5358,0.0762030452107316,9.195509638289685,0.7750755882739582,2008.0,True,5896.0,7607.0,0.05906312009497482
3131901,MG,0.4018858959833339,0.3922225606660575,27361,0.030535222550498668,11.4903189338075,0.6404039200500432,2008.0,True,21499.0,33571.0,0.019554876220939824
3132008,MG,0.77554882664648,0.7862391449565799,2642,0.0614554297153999,9.303661583942771,0.7588485134497405,2008.0,True,3216.0,4238.0,0.04663536148294622
3132107,MG,0.6897295924844484,0.7538692538692539,7877,0.04493576965839941,9.262746210083986,0.7718005018820577,2008.0,True,9842.0,12752.0,0.03468144957480921
3132206,MG,0.3894457547169811,0.3695144118410802,6784,0.08350538990457888,9.939515425609377,0.747273101461206,2008.0,True,7262.0,9718.0,0.06240133170272194
3132305,MG,0.6322815533980582,0.4610945644080417,4944,0.04319715431161675,8.862302416401944,0.8565610283823343,2008.0,True,6730.0,7857.0,0.037000998920348825
3132404,MG,0.2232600299519193,0.3414256679905278,50748,0.021931266598207183,10.342637981700253,0.5492015831854784,2008.0,True,36216.0,65943.0,0.012044686336998187
3132503,MG,0.5846796276013143,0.6653164863067529,14608,0.019130649910859342,9.603634905058867,0.7926924311190574,2008.0,True,17291.0,21813.0,0.01516472138672667
3132602,MG,0.5347896440129449,0.7033202427704391,2472,0.14938456519173968,9.522078783196429,0.7108508014796547,2008.0,True,2306.0,3244.0,0.10619013789523789
3132701,MG,0.6389696301493435,0.7635298173043779,9977,0.04386072490365926,9.366830697178372,0.7963201163245903,2008.0,True,14239.0,17881.0,0.0349271775573628
3132800,MG,0.5631399317406144,0.6537795729948067,1465,0.05143670658885397,9.3722041272359,0.8012422360248447,2008.0,True,1806.0,2254.0,0.04121326180100722
3132909,MG,0.3647798742138364,0.4721815519765739,5883,0.02403677645296415,9.804666475316486,0.7456881974974636,2008.0,True,6615.0,8871.0,0.017923940506860317
3133006,MG,0.2797734002832496,0.3275372604684173,7767,0.033877575641779734,10.935068867031566,0.6971490579066785,2008.0,True,7067.0,10137.0,0.02361771994282898
3133105,MG,0.3483011165806219,0.3620726958026828,8329,0.02597942797113875,10.178653982381064,0.6201870187018702,2008.0,True,6765.0,10908.0,0.016112103981000516
3133204,MG,0.5062233868326237,0.5597849158058582,6106,0.08145036557571968,9.158210621869857,0.7667472793228537,2008.0,True,6341.0,8270.0,0.06245184620503488
3133303,MG,0.5276461295418642,0.5088560885608856,9495,0.044313719087512256,9.461266552311915,0.780887497698398,2008.0,True,12723.0,16293.0,0.03460402921195718
3133402,MG,0.3844070695553022,0.5605187319884726,7016,0.03900380447931278,10.210440432190378,0.6949952785646837,2008.0,True,6624.0,9531.0,0.027107459959182442
3133501,MG,0.4337245426303072,0.4120503870086507,11588,0.016240875919739203,10.00918459199815,0.6660752523707556,2008.0,True,10887.0,16345.0,0.010817645526962417
3133600,MG,0.2429563874951756,0.3601986249045072,5182,0.07119051584512326,10.8867107823575,0.7287654873861771,2008.0,True,4882.0,6699.0,0.051881190977144616
3133709,MG,0.2818550905683947,0.4393162393162393,6404,0.06700426882382472,11.85194302988632,0.7535323913623034,2008.0,True,5653.0,7502.0,0.050489886918299275
3133758,MG,0.3267083793399583,0.4127831010452961,8151,0.024322412365936165,10.255775467763412,0.6144547544053801,2008.0,True,7218.0,11747.0,0.014945021916857686
3133808,MG,0.2283595421591641,0.2836483913770889,48139,0.022979366712971648,10.420638995264138,0.6082335574872888,2008.0,True,37084.0,60970.0,0.013976821964635731
3133907,MG,0.5761517615176152,0.6955984174085065,3690,0.03979505930130879,9.118838288649727,0.8255641879393266,2008.0,True,4463.0,5406.0,0.03285337581608234
3134004,MG,0.75682724762197,0.7185005701254276,6518,0.042075894891780354,9.01443675717228,0.8371985586251501,2008.0,True,9061.0,10823.0,0.03522587855626183
3134103,MG,0.3297035692679976,0.5456885456885456,3306,0.22637601356904918,9.372605088008632,0.7809712586719524,2008.0,True,3940.0,5045.0,0.17679316025015931
3134202,MG,0.4964989955335375,0.6969121632117645,51271,0.0342002669139915,10.192041639380076,0.6430433320253377,2008.0,True,45885.0,71356.0,0.02199225359252901
3134301,MG,0.3894268516095263,0.4058068872383524,3821,0.02935339810141036,9.196655895330897,0.6770506912442397,2008.0,True,3673.0,5425.0,0.019873738474927235
3134400,MG,0.5159595757454473,0.6682716792444094,19988,0.0414015663128269,10.924531795003043,0.6705137172612109,2008.0,True,17255.0,25734.0,0.02776031812885009
3134509,MG,0.445273631840796,0.4160852001468968,2412,0.0603703437346125,10.324909383931017,0.6997076023391813,2008.0,True,2393.0,3420.0,0.04224158846693793
3134608,MG,0.4354117897424984,0.509126594700687,9398,0.04129890557603425,9.313498342954235,0.7292385124429117,2008.0,True,7824.0,10729.0,0.03011675246778749
3134707,MG,0.6367538041357784,0.580928270042194,5126,0.07707189031212992,9.03705242865476,0.7927527018436109,2008.0,True,6235.0,7865.0,0.06109894928113542
3134806,MG,0.2333079461792333,0.2887854609929078,3939,0.026877810820207324,9.612545387218455,0.7846128059001005,2008.0,True,4681.0,5966.0,0.02108867456409495
3134905,MG,0.1824771007566706,0.1765318262938727,12555,0.050108933307335644,10.204994254432263,0.7107692307692308,2008.0,True,10395.0,14625.0,0.03561588798152165
3135001,MG,0.3951032165146423,0.6169429097605893,2083,0.08149860497526343,10.038324510592869,0.7250517598343685,2008.0,True,1751.0,2415.0,0.05909070696136077
3135050,MG,0.6370802146121746,0.8077334283677833,15097,0.07013035307980262,9.537822596137651,0.8083129584352078,2008.0,True,16530.0,20450.0,0.05668727317404094
3135076,MG,0.6722460101206695,0.7755593803786575,2569,0.10933708454501408,9.225362707738073,0.7988115449915111,2008.0,True,2823.0,3534.0,0.08733972543027016
3135100,MG,0.5488370663962885,0.736179603847097,32547,0.04770823329494941,9.668036055800256,0.6737444486179545,2008.0,True,30493.0,45259.0,0.03214315733584243
3135209,MG,0.7521259949656439,0.8279188449091361,29398,0.023124730060860493,9.228784302819864,0.7068632346874525,2008.0,True,32556.0,46057.0,0.016346021492094017
3135308,MG,0.3917975567190226,0.4666666666666667,2292,0.0760889682160152,9.724900321830432,0.6703102961918195,2008.0,True,1901.0,2836.0,0.051003218821807084
3135357,MG,0.8039803124331265,0.844831074246409,4673,0.08180863067643228,8.854015997716765,0.8105336105336105,2008.0,True,5848.0,7215.0,0.06630864479497935
3135407,MG,0.4867995689655172,0.461859210203581,3712,0.08263895111306119,12.22782508643929,0.7732534930139721,2008.0,True,3874.0,5010.0,0.06390085760718543
3135456,MG,0.7161764705882353,0.5986717267552182,2720,0.08695771170961633,9.135749312887611,0.8323787705231004,2008.0,True,4360.0,5238.0,0.07238175316035265
3135506,MG,0.6723248460642369,0.6976675957165909,6009,0.05627425916037962,9.321631899990187,0.8283199643493762,2008.0,True,7435.0,8976.0,0.0466130923415132
3135605,MG,0.6800445930880713,0.8235157159487776,3588,0.04312926221644492,9.240741001991678,0.7829123328380386,2008.0,True,5269.0,6730.0,0.03376643129546037
3135704,MG,0.4113038612199216,0.4965226030799801,3574,0.06010069703402988,9.758910584928257,0.7479575163398693,2008.0,True,3662.0,4896.0,0.04495276808386794
3135803,MG,0.7548541272528129,0.7483592555965117,10043,0.042312661047945996,9.107812346768156,0.8140585678334478,2008.0,True,14233.0,17484.0,0.03444498425391303
3135902,MG,0.4027777777777778,0.4756209751609935,2736,0.047837483536461486,9.45676044175231,0.7405114401076716,2008.0,True,2751.0,3715.0,0.035424203824712126
3136009,MG,0.7495792662403231,0.7249595528754229,5942,0.04270143678888896,9.076033671925702,0.8708597603946441,2008.0,True,9886.0,11352.0,0.037186963010478885
3136108,MG,0.4611111111111111,0.6515949210281821,2700,0.03554405323579028,9.754804354891004,0.8442801217920836,2008.0,True,3882.0,4598.0,0.03000913759489732
3136207,MG,0.3972592173600041,0.5256419129351512,38894,0.02420503114722308,10.51470833217223,0.5932728359506603,2008.0,True,32754.0,55209.0,0.0143601874729871
3136306,MG,0.4437692646411272,0.6386111965549062,22710,0.034741798692054966,10.316921075444114,0.7088152222387394,2008.0,True,23841.0,33635.0,0.024625515760882486
3136405,MG,0.5590349075975359,0.5703872437357631,1948,0.14242068448900155,9.15402194138596,0.7667233560090703,2008.0,True,2705.0,3528.0,0.1091972651765162
3136504,MG,0.6402023312073895,0.6775153800357214,4547,0.055861692022782565,9.038391548039822,0.8058603330321414,2008.0,True,6243.0,7747.0,0.045016721737218476
3136520,MG,0.6865079365079365,0.5419654154365247,2016,0.09550623877245963,9.201666904947595,0.8020408163265306,2008.0,True,2751.0,3430.0,0.07659990170934007
3136553,MG,0.6527472527472528,0.6679566563467493,2275,0.08366832566107076,9.253579855137335,0.8098611504675546,2008.0,True,2858.0,3529.0,0.06775972647756878
3136579,MG,0.7427267541357673,0.7426540284360189,1753,0.09144994776619189,8.944466653517287,0.8329499712478435,2008.0,True,2897.0,3478.0,0.07617323136246633
3136603,MG,0.524904214559387,0.6257885440322988,3393,0.030745817819796333,9.616691178445436,0.735579781962339,2008.0,True,3711.0,5045.0,0.022616001968139583
3136652,MG,0.3789240867579909,0.5249852594339622,14016,0.09776080174303171,10.725643519863056,0.6465332132714553,2008.0,True,9334.0,14437.0,0.06320560528291598
3136702,MG,0.4764095543466513,0.6329193283291255,277570,0.04170256795986402,10.310581819632995,0.5448546372459416,2008.0,True,200306.0,367632.0,0.022721837537995938
3136801,MG,0.6583956492182189,0.7362768496420048,2942,0.25936731534709606,9.099584832971797,0.7032760472610097,2008.0,True,2619.0,3724.0,0.18240682032600553
3136900,MG,0.3190709046454767,0.503582395087001,5726,0.06345365567203046,9.595637303749756,0.7871857013026355,2008.0,True,5197.0,6602.0,0.04994981044040325
3136959,MG,0.7002419842710224,0.6914335664335665,3306,0.051920898068885446,9.095926849361668,0.7859449192782526,2008.0,True,4138.0,5265.0,0.04080696604160455
3137007,MG,0.6732263076126359,0.6481334392374901,5793,0.08852952337200687,8.790608323734478,0.8671376874030674,2008.0,True,10064.0,11606.0,0.07676728616369784
3137106,MG,0.3780349444066258,0.5687552565180825,4407,0.021529203723757148,9.994060496222815,0.6866337422335511,2008.0,True,4310.0,6277.0,0.014782677720151875
3137205,MG,0.2798988621997471,0.3545689289705939,23730,0.03069380741723249,10.346207283394236,0.6561943106065606,2008.0,True,19884.0,30302.0,0.020141101798041412
3137304,MG,0.595591542959964,0.7353407290015848,2223,0.04396603526872945,9.222439528996983,0.7966451612903226,2008.0,True,3087.0,3875.0,0.035025329257952986
3137403,MG,0.4165159734779988,0.4552209620649198,6636,0.07391170959877927,9.752064819389378,0.8029595902105863,2008.0,True,7054.0,8785.0,0.059348116051199655
3137502,MG,0.3701412516754304,0.4826727934137469,9699,0.0401865431306879,9.860903287807353,0.7435615045747205,2008.0,True,8777.0,11804.0,0.029881166473911196
3137536,MG,0.5192748489268597,0.587775825034173,4799,0.03170316870758236,10.14411643511541,0.7547534643893007,2008.0,True,4684.0,6206.0,0.023928076414166253
3137601,MG,0.2895281786613145,0.2941912307149501,31389,0.01641906165571866,10.167540393917854,0.5648920949087874,2008.0,True,18951.0,33548.0,0.009274998135135458
3137700,MG,0.4745021855269548,0.6228340223414548,10295,0.038001592160274975,9.758950704737583,0.7437566324725858,2008.0,True,10513.0,14135.0,0.028263936213722734
3137809,MG,0.2902145378835883,0.4683766396524355,11047,0.0250512581703348,9.649026479972909,0.6678637935621176,2008.0,True,10042.0,15036.0,0.016730828315143793
3137908,MG,0.6617250673854448,0.7203672787979967,2226,0.06216716293059161,9.414623272876202,0.7720914363698397,2008.0,True,2263.0,2931.0,0.047998734122118324
