id_municipio,pc1_score,pt_share_mean_runoff,pt_share_mean_first_round,left_coalition_share_mean_first_round
1301951,0.7971726785514149,0.7927808185155728,0.7719202821326373,0.8379952845377069
1302009,0.8395806927414309,0.8373866897467585,0.7853741384017937,0.8855476008208957
1302108,0.8013659908686003,0.796552578131978,0.7673921568272443,0.8277117963689173
1302207,0.5943498626557348,0.5989489717845032,0.5665394526061596,0.5893463192825839
1302306,0.7826048738151623,0.7826726262972677,0.7593783034180924,0.8036904513964576
1302405,0.849281402690913,0.8489805154171636,0.8220839802243635,0.8679905418755557
1302504,0.8205633301130469,0.8167247377706827,0.752412710964245,0.8772132857084696
1302553,0.9188842851031354,0.9159841320357868,0.8764996060401978,0.9380357904314622
1302603,0.7484925491185817,0.7428349484259821,0.5790815865049629,0.8481479295233512
1302702,0.7548863224364816,0.7549856752049728,0.7476274532633798,0.7884014604821811
1302801,0.864419322562477,0.8658863312979354,0.8626380892106557,0.9075166241874837
1302900,0.8920766084703927,0.8891846200045895,0.845084292136579,0.9249253621269262
1303007,0.814911574373747,0.8134962732655318,0.7927702554604314,0.85358441272271
1303106,0.8712200518964548,0.8685248253199673,0.8356801749871928,0.9016611967111601
1303205,0.7916180909825488,0.7876976098816232,0.7364551747100964,0.8108863220334787
1303304,0.8605103782586995,0.8585850946207486,0.8273189590852178,0.8871914168504822
1303403,0.8285860554944158,0.8271606909806103,0.765126031251623,0.8732818967015886
1303502,0.778161331400871,0.7772463814697909,0.7409189412249765,0.8187171144037032
1303536,0.8374620173543337,0.8344974933675721,0.7604297770388868,0.8826188387798691
1303569,0.8182516116189501,0.8147382043488415,0.7403093128960209,0.8568055023567468
1303601,0.6623341953840157,0.6642493388643153,0.6438835185686262,0.7274144719947159
1303700,0.730849658744487,0.7324698922486723,0.7166256307013072,0.7886054513522037
1303809,0.8333960007273254,0.8325990376297497,0.803358270123692,0.8785191194796121
1303908,0.818673212031291,0.8197021913823148,0.793019983666865,0.8491859164143157
1303957,0.7562468465873854,0.7561499632204898,0.7155581685081277,0.8166061986482208
1304005,0.8974602999675197,0.8954690972634766,0.8576800032172534,0.9276873357843737
1304062,0.8140625965043402,0.8123370364352156,0.7460265660312815,0.8581866227616753
1304104,0.7914006851305416,0.7913373791473978,0.7721268847815669,0.8152958420219928
1304203,0.858096261693821,0.8542727314307438,0.8024878764828561,0.890970726543339
1304237,0.7438029552636777,0.7434176442077426,0.7427158610581226,0.7834409825230625
1304260,0.8537952180362164,0.8502779740943068,0.8505565511485315,0.890014055021787
1304302,0.8927911165006785,0.8910620937043134,0.8490603605467898,0.9153933999736091
1304401,0.8858863207104433,0.8847196017572466,0.8333067708907954,0.9142194456184072
1400027,0.35206728991384917,0.3595604698694208,0.3064563595892606,0.4120307226581601
1400050,0.4313287582398624,0.43687937966503093,0.37718808168333035,0.4975173093972502
1400100,0.3270796041360642,0.32999922017198474,0.23293100941012565,0.45442518615195754
1400159,0.34985355573367793,0.3551533806698603,0.320550900338831,0.4494695109810855
1400175,0.3783077913374632,0.38341651127215437,0.3258048130985687,0.4508977570147268
1400209,0.4460369120744765,0.45237316064700367,0.3920552703069314,0.49194571644021917
1400233,0.4916399728591775,0.49484064403361616,0.43027314538858313,0.48985774697737594
1400282,0.5392739905803199,0.544856188622414,0.4619201001625237,0.5469402093101746
1400308,0.47485912726050394,0.4792318808258809,0.40664252019293606,0.5021397801576116
1400407,0.4938940417966517,0.4990534550357942,0.45647676491246036,0.5501626313730356
1400456,0.3293051852899981,0.33405198750143966,0.2845298143831814,0.40405261867162395
1400472,0.5699784804765311,0.5738908112450729,0.5026006513327085,0.5872085344934895
1400506,0.5356176214483209,0.5394743574502004,0.45556183597119854,0.5482151843427697
1400605,0.5362625262816071,0.5419223533647095,0.46951779944801225,0.5518575994295122
1400704,0.5941081815466979,0.5961182293285568,0.5637572517773933,0.6469853812732794
