outcome,event_time,estimate,std.error,conf.low,conf.high,statistic,p.value
log_num_voters_high_ed_age_46_60,4,0.2061106763764051,0.013873366618752,0.1789188778036511,0.2333024749491591,14.856572455730696,6.307049063021548e-50
log_num_voters_high_ed_age_46_60,6,0.2474585781556039,0.0138558448577786,0.2203011222343577,0.2746160340768501,17.859508438179514,2.4377668708046477e-71
log_num_voters_high_ed_age_46_60,8,0.1257403365848552,0.0327603829266794,0.0615299860485635,0.189950687121147,3.8381827485433546,0.0001239482229970804
log_num_voters_high_ed_age_60_plus,-8,0.005712625614299,0.0073776890899302,-0.0087476450019641,0.0201728962305622,0.7743109725369425,0.4387469164938867
log_num_voters_high_ed_age_60_plus,-6,0.0048589002450045,0.004800846666159,-0.0045507592206672,0.0142685597106763,1.0120923626356793,0.3114938937323505
log_num_voters_high_ed_age_60_plus,-4,0.0059023906922607,0.005310895017214,-0.0045069635414788,0.0163117449260002,1.1113740100547005,0.2664073945891625
log_num_voters_high_ed_age_60_plus,-2,-0.0014732454336373,0.0043867205132166,-0.0100712176395419,0.0071247267722672,-0.3358421009951874,0.7369899401917346
log_num_voters_high_ed_age_60_plus,0,0.0658166656645428,0.0049910708707073,0.0560341667579563,0.0755991645711292,13.186882608864806,1.0441446120853669e-39
log_num_voters_high_ed_age_60_plus,2,0.0873999039846306,0.0061506908027773,0.0753445500111869,0.0994552579580742,14.209770379802713,7.968636300200125e-46
log_num_voters_high_ed_age_60_plus,4,0.086774188954966,0.0151452743492329,0.0570894512304694,0.1164589266794626,5.729456393727239,1.0075298430347228e-08
log_num_voters_high_ed_age_60_plus,6,0.0704338536821077,0.0184851826043002,0.0342028957776792,0.1066648115865362,3.810287146729219,0.00013880547654849265
log_num_voters_high_ed_age_60_plus,8,0.002812747269337,0.0402227320888344,-0.0760238076247784,0.0816493021634525,0.0699292942887353,0.944249936725997
log_num_voters_low_ed_age_16_30,-8,0.0170577284834697,0.0025530120662669,0.0120538248335865,0.0220616321333529,6.681413185959504,2.36648954869614e-11
log_num_voters_low_ed_age_16_30,-6,0.0161554783981952,0.0027455854688648,0.0107741308792201,0.0215368259171703,5.8841651740219545,4.0006815242336945e-09
log_num_voters_low_ed_age_16_30,-4,0.0147618712258688,0.003057044343505,0.008770064312599,0.0207536781391386,4.828805070241097,1.3735478201349945e-06
log_num_voters_low_ed_age_16_30,-2,0.0132098992509932,0.0033279212890784,0.0066871735243994,0.019732624977587,3.96941456949278,7.204943260307194e-05
log_num_voters_low_ed_age_16_30,0,-0.3607556058189915,0.0045252670827431,-0.3696251293011681,-0.3518860823368149,-79.72029036577993,0.0
log_num_voters_low_ed_age_16_30,2,-0.2328193366910218,0.0056950221974886,-0.2439815801980995,-0.2216570931839441,-40.8811991626108,0.0
log_num_voters_low_ed_age_16_30,4,-0.1022944307051495,0.011915585165921,-0.1256489776303547,-0.0789398837799442,-8.584927158904039,9.089400137789785e-18
log_num_voters_low_ed_age_16_30,6,0.0449390486219646,0.0152880929222278,0.014974386494398,0.0749037107495311,2.939480342680698,0.0032876312428371
log_num_voters_low_ed_age_16_30,8,0.077663685387674,0.0336838060861998,0.0116434254587224,0.1436839453166257,2.3056683436820022,0.0211291712555101
log_num_voters_low_ed_age_31_45,-8,0.0064312313538507,0.001835064723826,0.0028345044951516,0.0100279582125498,3.504634616070514,0.0004572343421508572
log_num_voters_low_ed_age_31_45,-6,0.0083476225406949,0.0019134896333948,0.004597182859241,0.0120980622221489,4.36251255037364,1.2857720764751672e-05
log_num_voters_low_ed_age_31_45,-4,0.0095749391901974,0.0033910655587322,0.0029284506950821,0.0162214276853127,2.8235783190746924,0.0047490821382002
log_num_voters_low_ed_age_31_45,-2,0.0114960645140558,0.0031260015156452,0.0053691015433911,0.0176230274847205,3.6775620410033367,0.00023547381358690668
log_num_voters_low_ed_age_31_45,0,-0.326147208851102,0.0033516993872668,-0.332716539650145,-0.319577878052059,-97.30801338871343,0.0
log_num_voters_low_ed_age_31_45,2,-0.2540399466521934,0.0050110369318404,-0.2638615790386006,-0.2442183142657862,-50.69608348683477,0.0
log_num_voters_low_ed_age_31_45,4,-0.2026494740989192,0.0113862062243917,-0.2249664382987271,-0.1803325098991114,-17.797804651104926,7.349391534835641e-71
log_num_voters_low_ed_age_31_45,6,-0.0648278912594317,0.011865968012768,-0.0880851885644571,-0.0415705939544063,-5.4633462006366,4.672420960560528e-08
log_num_voters_low_ed_age_31_45,8,-0.0621862071309608,0.0319149957887969,-0.1247395988770028,0.00036718461508120775,-1.948494918892952,0.0513557722116869
log_num_voters_low_ed_age_46_60,-8,7.886708811505776e-05,0.0012181281509935,-0.0023086640878322,0.0024663982640623,0.0647444918260303,0.9483774377581412
log_num_voters_low_ed_age_46_60,-6,0.0025490699092014,0.0013585816252019,-0.00011375007619428626,0.0052118898945971,1.876272917221752,0.0606178139206895
log_num_voters_low_ed_age_46_60,-4,0.0032457262033333,0.0029653685346003,-0.0025663961244834,0.00905784853115,1.094543954810897,0.2737164806115205
log_num_voters_low_ed_age_46_60,-2,0.0017020712412188,0.0027245348453001,-0.0036380170555695,0.0070421595380072,0.6247199385814146,0.5321548846356323
log_num_voters_low_ed_age_46_60,0,-0.1413209278069181,0.0025999486618983,-0.1464168271842388,-0.1362250284295973,-54.35527627062199,0.0
log_num_voters_low_ed_age_46_60,2,-0.1094085110747815,0.0025673561596816,-0.1144405291477575,-0.1043764930018056,-42.6152447381314,0.0
log_num_voters_low_ed_age_46_60,4,-0.091484722851728,0.0098774001694978,-0.1108444271839439,-0.0721250185195122,-9.262024549156116,2.005920568133265e-20
log_num_voters_low_ed_age_46_60,6,-0.0258349533209805,0.0071293304751236,-0.0398084410522229,-0.0118614655897382,-3.623755892804576,0.00029035565782212816
log_num_voters_low_ed_age_46_60,8,-0.0187242473821531,0.0173428241156931,-0.0527161826489117,0.0152676878846054,-1.0796538820462311,0.2802963377320567
log_num_voters_low_ed_age_60_plus,-8,0.0011630577009188,0.0017386130225757,-0.0022446238233295,0.0045707392251672,0.6689572008357515,0.503522779992324
log_num_voters_low_ed_age_60_plus,-6,-9.48926040544066e-05,0.0014284353389452,-0.002894625868387,0.0027048406602782,-0.0664311512514638,0.947034569859836
log_num_voters_low_ed_age_60_plus,-4,0.0025467851801912,0.0029647774307876,-0.0032641785841525,0.0083577489445349,0.8590139528668234,0.3903328181088473
log_num_voters_low_ed_age_60_plus,-2,-0.001370485713892,0.0027144527353988,-0.0066908130752738,0.0039498416474897,-0.5048847217045497,0.6136398056297689
log_num_voters_low_ed_age_60_plus,0,-0.2404523253238374,0.0034070790993224,-0.2471302003585094,-0.2337744502891654,-70.57433018554086,0.0
