slug,label,category,family,frequency,pretrend_label,post_mean_ref0,post_abs_mean_ref0,max_abs_pretrend_t,n_pre_p05,n_obs,n_munis,n_treated,n_never,sample_year_min,sample_year_max,post_min_ref0,post_max_ref0,post_sign_share,n_post_raw_p05,n_post_ref0_ci_excludes0_naive,post_n,figure_path,output_dir
log_child_spending_pc,Child/basic education spending per capita,adult_eja,spending,annual,pass,0.0896085827800871,0.0896085827800871,1.6937292852005532,0,68575,4037,2792,1244,2004,2020,-0.0030389877694675,0.2385844803224284,0.875,2,5,8,resources/figures/downstream_bjs_ref0_nonhybrid/adult_eja/annual/log_child_spending_pc_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/adult_eja/annual/spending/log_child_spending_pc
inep_ind_municipal_atu_em,Municipal Atu Em,education,school_inputs,annual,pass,-0.0649224144627483,0.0649224144627483,1.3617490496349596,0,1786,4037,276,84,2007,2020,-2.706344845167264,2.154348909391449,0.5,1,1,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_atu_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/school_inputs/inep_ind_municipal_atu_em
siconfi_annual_infrastructure_spending_log_pc,"Infrastructure expenditure per capita, log(1+x), annual",siconfi_log_pc,infrastructure_spending,annual,pass,0.0482873695760161,0.0482873695760161,1.3259609420392249,0,81889,4036,2790,1244,2000,2020,0.0017781839048459,0.1453244965911118,1.0,5,2,8,resources/figures/downstream_bjs_ref0_nonhybrid/siconfi_log_pc/annual/siconfi_annual_infrastructure_spending_log_pc_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/siconfi_log_pc/annual/infrastructure_spending/siconfi_annual_infrastructure_spending_log_pc
imun_hepatite_b_rn_pp,Hepatitis B newborn coverage,birth_health,immunization,annual,pass,0.0435173277156799,0.0435173277156799,1.7993009940141176,0,28244,4037,2792,1244,2014,2020,-2.2995656389292884,4.1049449074461055,0.25,0,0,4,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/imun_hepatite_b_rn_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/immunization/imun_hepatite_b_rn_pp
siconfi_cycle2_urbanism_log_pc,"Urbanism expenditure per capita, log(1+x), cycle2",siconfi_log_pc,urbanism,cycle2,pass,0.0410664253114168,0.0410664253114168,1.7811165624148604,0,44016,4036,2790,1244,2000,2020,0.0157803093156947,0.0876204869293033,1.0,3,1,4,resources/figures/downstream_bjs_ref0_nonhybrid/siconfi_log_pc/cycle2/siconfi_cycle2_urbanism_log_pc_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/siconfi_log_pc/cycle2/urbanism/siconfi_cycle2_urbanism_log_pc
ideb_municipal_ef_final_indicador_rendimento,Municipal Ef Final Indicador Rendimento,education,achievement,biennial,pass,0.0395083442035527,0.0395083442035527,1.8590696049132696,0,18816,4037,2041,761,2004,2018,0.0039946109783013,0.0712916108702396,1.0,4,3,4,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_municipal_ef_final_indicador_rendimento_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/ideb_municipal_ef_final_indicador_rendimento
inep_ind_municipal_had_em,Municipal Had Em,education,school_inputs,annual,pass,0.0336241225721692,0.0336241225721692,1.2380752735927494,0,1099,4037,151,49,2010,2020,-0.0546378377413032,0.1305458325728985,0.6666666666666666,0,0,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_had_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/school_inputs/inep_ind_municipal_had_em
ideb_publica_ef_final_indicador_rendimento,Publica Ef Final Indicador Rendimento,education,achievement,biennial,pass,0.0269962661968538,0.0269962661968538,1.8574941805723644,0,27681,4037,2790,1244,2004,2018,0.0014434696027254,0.0537227888744775,1.0,4,3,4,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/ideb_publica_ef_final_indicador_rendimento_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/ideb_publica_ef_final_indicador_rendimento
ieps_doctors_per_1000,IEPS doctors,birth_health,ieps,annual,pass,-0.0250368539901724,0.0250368539901724,0.9536477256018414,0,44383,4037,2792,1244,2010,2020,-0.0889357741433775,0.0105937082718582,0.625,2,2,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_doctors_per_1000_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_doctors_per_1000
sinasc_dedicated_low_birthweight_low_education_share,SINASC low-birthweight share: low education proxy,birth_health,sinasc_dedicated,annual,pass,-0.00217057127328,0.00217057127328,1.9399443143991173,0,84312,4037,2792,1244,2000,2020,-0.0056525470102482,0.0009205842655807,0.75,1,0,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_dedicated_low_birthweight_low_education_share_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_dedicated/sinasc_dedicated_low_birthweight_low_education_share
inep_ind_municipal_afd_em_grupo_1,Municipal Afd Em Grupo 1,education,teacher_profile,annual,near,5.931131554954919,5.931131554954919,2.299583746391704,1,648,4037,96,42,2013,2020,-0.8659193316611193,19.31668628692217,0.6666666666666666,1,1,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_afd_em_grupo_1_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_afd_em_grupo_1
inep_ind_municipal_taxa_abandono_em,Municipal Taxa Abandono Em,education,dropout_flow,annual,near,-5.616857160226399,5.616857160226399,2.326350361192956,1,1829,4037,335,115,2007,2019,-11.637498110267748,0.0179475692803595,0.875,5,5,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_abandono_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_abandono_em
saeb_public_estadual_municipal_grade5_math_media,Public Estadual Municipal Grade5 Math Media,education,achievement,biennial,near,2.176792177836288,2.176792177836288,2.533770946135857,1,19431,4037,2784,1244,2010,2018,-0.3259211002540912,6.88263564156861,0.3333333333333333,1,1,3,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_public_estadual_municipal_grade5_math_media_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/saeb_public_estadual_municipal_grade5_math_media
inep_ind_municipal_afd_ef_grupo_1,Municipal Afd Ef Grupo 1,education,teacher_profile,annual,near,-1.0559887476682692,1.0559887476682692,2.5118589090972168,1,32173,4037,2784,1241,2013,2020,-1.8265961779996351,-0.4093900499346932,1.0,5,2,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_afd_ef_grupo_1_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_afd_ef_grupo_1
sinasc_all_teen_mother_share_known_pp,Teen mother share: All mothers,birth_health,sinasc_all,annual,near,1.0233316797904546,1.0233316797904546,2.3862449163659343,1,84609,4037,2792,1244,2000,2020,0.1533377304012652,2.249255593607478,1.0,6,6,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_all_teen_mother_share_known_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_all/sinasc_all_teen_mother_share_known_pp
sinasc_lowedu_very_preterm_share_known_pp,Very-preterm birth share: Low education proxy,birth_health,sinasc_lowedu,annual,near,-0.2546182590765269,0.2546182590765269,2.0269454629100987,1,84306,4037,2792,1244,2000,2020,-0.4032709646908684,-0.0650998771461988,1.0,0,4,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_very_preterm_share_known_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_very_preterm_share_known_pp
sinasc_lowedu_multiple_pregnancy_share_known_pp,Multiple pregnancy share: Low education proxy,birth_health,sinasc_lowedu,annual,near,-0.1641352761742289,0.1641352761742289,1.98846444832248,1,84310,4037,2792,1244,2000,2020,-0.3399036925301836,0.0240117592474269,0.875,0,1,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_multiple_pregnancy_share_known_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_multiple_pregnancy_share_known_pp
sinasc_highedu_preterm_share_known_pp,Preterm birth share: High education proxy,birth_health,sinasc_highedu,annual,near,0.1460398882366212,0.1460398882366212,2.44213663228476,1,84578,4037,2792,1244,2000,2020,-0.0721290632776182,0.6348462164960956,0.75,1,1,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_highedu_preterm_share_known_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_highedu/sinasc_highedu_preterm_share_known_pp
inep_transition_publica_taxa_repetencia_em,Publica Taxa Repetencia Em,education,dropout_flow,annual,near,-0.1222981985930796,0.1222981985930796,2.0844745612073594,1,52266,4037,2786,1244,2008,2020,-1.196597488640348,0.7322315979246528,0.375,5,5,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_transition_publica_taxa_repetencia_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_transition_publica_taxa_repetencia_em
inep_ind_municipal_ied_ef_nivel_5,Municipal Ied Ef Nivel 5,education,teacher_profile,annual,near,0.0860664562317806,0.0860664562317806,2.249272207315129,1,32184,4037,2784,1241,2013,2020,0.0288262498909286,0.1559006840674572,1.0,1,0,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ied_ef_nivel_5_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_ied_ef_nivel_5
